Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
9111,-0.94,2.62,-0.06,-0.06,-0.19,0.12,0.00,0.01,-0.24,0.00,0.00,0.54
9121,-0.94,2.62,-0.06,0.06,0.12,-0.12,0.00,0.01,-0.23,0.00,0.00,0.53
9132,-0.94,2.62,-0.06,0.12,0.19,-0.06,0.00,0.01,-0.23,0.00,0.00,0.54
9141,-0.94,2.62,-0.06,0.06,0.44,0.00,0.01,0.03,-0.22,0.00,0.00,0.53
9153,-0.94,2.62,-0.06,0.12,0.06,0.06,0.00,0.03,-0.26,0.00,0.00,0.52
9162,-0.94,2.62,-0.06,0.31,0.19,0.00,0.01,0.02,-0.25,0.00,0.00,0.52
9174,-0.94,2.62,-0.06,0.31,0.19,0.00,0.00,0.01,-0.25,0.00,0.00,0.52
9182,-0.94,2.62,-0.06,0.00,0.06,0.12,0.00,0.04,-0.22,0.00,0.00,0.53
9193,-0.94,2.62,-0.06,0.00,0.06,0.12,0.00,0.03,-0.24,0.00,0.00,0.54
9202,-0.94,2.62,-0.06,-0.19,-0.31,0.12,0.00,0.04,-0.26,0.00,0.00,0.52
9214,-0.94,2.62,-0.06,-0.19,-0.31,0.12,0.00,0.01,-0.23,0.00,0.00,0.52
9222,-0.94,2.62,-0.06,-0.06,-0.12,0.06,0.00,0.02,-0.24,0.00,0.00,0.51
9255,-0.94,2.62,-0.06,-0.06,0.00,0.06,0.00,0.02,-0.27,0.00,0.00,0.53
9262,-0.94,2.62,-0.06,-0.12,0.12,0.12,0.00,0.04,-0.24,0.00,0.00,0.53
9273,-0.94,2.62,-0.06,-0.12,0.12,0.12,0.00,0.01,-0.27,0.00,0.00,0.53
9281,-0.94,2.62,-0.06,0.00,-0.06,0.06,0.00,0.03,-0.25,0.00,0.00,0.53
9293,-0.94,2.62,-0.06,0.00,-0.06,0.06,0.00,0.02,-0.24,0.00,0.00,0.53
9301,-0.94,2.62,-0.06,0.00,-0.06,0.00,-0.01,0.04,-0.23,0.00,0.00,0.53
9310,-0.94,2.62,-0.06,0.00,-0.06,0.00,0.00,0.02,-0.25,0.00,0.00,0.52
9320,-0.94,2.62,-0.06,-0.06,-0.19,0.06,0.00,0.03,-0.25,0.00,0.00,0.53
9329,-0.94,2.62,-0.06,-0.12,0.19,-0.06,0.00,0.03,-0.25,0.00,0.00,0.54
9340,-0.94,2.62,-0.06,0.06,0.06,0.06,0.00,0.01,-0.25,0.00,0.00,0.53
9352,-0.94,2.62,-0.06,0.06,-0.12,0.00,-0.01,0.02,-0.25,0.00,0.00,0.54
9360,-0.94,2.62,-0.06,0.12,0.12,-0.12,0.00,0.02,-0.24,0.00,0.00,0.53
9373,-0.94,2.62,-0.06,0.06,0.00,0.00,0.00,0.01,-0.22,0.00,0.00,0.54
9381,-0.94,2.62,-0.06,-0.12,-0.06,0.06,0.00,0.01,-0.21,0.00,0.00,0.53
9394,-0.94,2.62,-0.06,-0.12,-0.06,0.06,0.00,0.01,-0.22,0.00,0.00,0.52
9424,-0.94,2.62,-0.06,0.06,0.06,-0.06,0.00,0.00,-0.22,0.00,0.00,0.51
9433,-0.94,2.62,-0.06,0.00,0.31,0.00,0.00,0.03,-0.23,0.00,0.00,0.54
